Year,State,CPI,Minimum_Wage_State,Minimum_Wage_Federal,Unemployment%_state,GDP_perCap,Inflation_rate,Federal_Interest_Rate,Unemployment_Rate_Federal,Real_GDP_%Change,LFPR,Poverty_Rate
1977,Colorado,60.6,2.2,2.2,6.6,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Connecticut,60.6,2.21,2.2,8.2,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Delaware,60.6,2.2,2.2,9.2,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,District of Columbia,60.6,2.25,2.2,8.9,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Florida,60.6,2.2,2.2,9.0,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Georgia,60.6,2.2,2.2,8.1,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Hawaii,60.6,2.4,2.2,8.5,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Idaho,60.6,2.2,2.2,5.9,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Illinois,60.6,2.2,2.2,6.2,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Indiana,60.6,2.2,2.2,5.8,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Iowa,60.6,2.2,2.2,4.0,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Kansas,60.6,2.2,2.2,4.2,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Kentucky,60.6,2.2,2.2,5.1,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Louisiana,60.6,2.2,2.2,6.9,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Maine,60.6,2.3,2.2,9.1,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Maryland,60.6,2.2,2.2,6.7,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Massachusetts,60.6,2.2,2.2,8.8,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Michigan,60.6,2.2,2.2,8.9,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Minnesota,60.6,2.2,2.2,5.9,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Mississippi,60.6,2.2,2.2,6.9,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Missouri,60.6,2.2,2.2,6.4,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Montana,60.6,2.2,2.2,6.0,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Nebraska,60.6,2.2,2.2,3.1,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Nevada,60.6,2.2,2.2,8.5,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,New Hampshire,60.6,2.2,2.2,6.4,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,New Jersey,60.6,2.2,2.2,10.5,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,New Mexico,60.6,2.2,2.2,9.0,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,New York,60.6,2.3,2.2,10.1,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,North Carolina,60.6,2.2,2.2,6.5,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,North Dakota,60.6,2.2,2.2,4.3,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Ohio,60.6,2.2,2.2,7.4,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Oklahoma,60.6,2.2,2.2,5.3,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Oregon,60.6,2.3,2.2,9.2,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Pennsylvania,60.6,2.2,2.2,8.1,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Rhode Island,60.6,2.3,2.2,8.8,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,South Carolina,60.6,2.2,2.2,7.1,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,South Dakota,60.6,2.2,2.2,3.7,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Tennessee,60.6,2.2,2.2,6.5,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Texas,60.6,2.2,2.2,5.8,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Utah,60.6,2.2,2.2,5.5,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Vermont,60.6,2.3,2.2,7.6,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Virginia,60.6,2.2,2.2,5.6,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Washington,60.6,2.2,2.2,9.4,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,West Virginia,60.6,2.2,2.2,7.1,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Wisconsin,60.6,2.2,2.2,5.4,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Wyoming,60.6,2.2,2.2,3.8,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1978,Alabama,65.2,2.2,2.2,6.4,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Alaska,65.2,2.8,2.2,10.9,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Arizona,65.2,2.2,2.2,6.8,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Arkansas,65.2,2.2,2.2,6.3,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,California,65.2,2.2,2.2,7.6,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Colorado,65.2,2.2,2.2,6.2,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Connecticut,65.2,2.21,2.2,5.8,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Delaware,65.2,2.2,2.2,7.2,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,District of Columbia,65.2,2.25,2.2,8.1,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Florida,65.2,2.2,2.2,7.1,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Georgia,65.2,2.2,2.2,5.7,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Hawaii,65.2,2.4,2.2,7.2,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Idaho,65.2,2.2,2.2,5.3,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Illinois,65.2,2.2,2.2,6.3,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Indiana,65.2,2.2,2.2,5.8,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Iowa,65.2,2.2,2.2,4.0,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Kansas,65.2,2.2,2.2,3.4,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Kentucky,65.2,2.2,2.2,5.0,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Louisiana,65.2,2.2,2.2,7.6,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Maine,65.2,2.3,2.2,7.0,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Maryland,65.2,2.2,2.2,5.8,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Massachusetts,65.2,2.2,2.2,6.7,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Michigan,65.2,2.2,2.2,7.3,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Minnesota,65.2,2.2,2.2,4.2,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Mississippi,65.2,2.2,2.2,7.1,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Missouri,65.2,2.2,2.2,5.6,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Montana,65.2,2.2,2.2,6.2,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Nebraska,65.2,2.2,2.2,3.7,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Nevada,65.2,2.2,2.2,4.8,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,New Hampshire,65.2,2.2,2.2,4.4,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,New Jersey,65.2,2.2,2.2,7.7,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,New Mexico,65.2,2.2,2.2,6.3,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,New York,65.2,2.3,2.2,8.2,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,North Carolina,65.2,2.2,2.2,5.0,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,North Dakota,65.2,2.2,2.2,4.3,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Ohio,65.2,2.2,2.2,5.7,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Oklahoma,65.2,2.2,2.2,4.0,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Oregon,65.2,2.3,2.2,5.7,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Pennsylvania,65.2,2.2,2.2,7.4,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Rhode Island,65.2,2.3,2.2,6.9,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,South Carolina,65.2,2.2,2.2,5.8,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,South Dakota,65.2,2.2,2.2,3.0,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Tennessee,65.2,2.2,2.2,5.9,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Texas,65.2,2.2,2.2,5.2,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Utah,65.2,2.2,2.2,4.6,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Vermont,65.2,2.3,2.2,6.3,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Virginia,65.2,2.2,2.2,5.4,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Washington,65.2,2.2,2.2,6.8,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,West Virginia,65.2,2.2,2.2,6.7,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Wisconsin,65.2,2.2,2.2,4.9,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1978,Wyoming,65.2,2.2,2.2,2.8,10564.94822,9.0,6.7,6.4,1.4,76.5,11.238
1979,Alabama,72.6,2.9,2.9,6.9,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Alaska,72.6,3.4,2.9,9.6,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Arizona,72.6,2.9,2.9,5.8,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Arkansas,72.6,2.9,2.9,6.4,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,California,72.6,2.9,2.9,6.5,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Colorado,72.6,2.9,2.9,4.9,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Connecticut,72.6,2.91,2.9,5.1,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Delaware,72.6,2.9,2.9,7.1,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,District of Columbia,72.6,2.9,2.9,7.6,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Florida,72.6,2.9,2.9,6.5,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Georgia,72.6,2.9,2.9,5.6,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Hawaii,72.6,2.9,2.9,6.4,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Idaho,72.6,2.9,2.9,6.1,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Illinois,72.6,2.9,2.9,5.6,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Indiana,72.6,2.9,2.9,5.6,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Iowa,72.6,2.9,2.9,4.1,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Kansas,72.6,2.9,2.9,3.0,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Kentucky,72.6,2.9,2.9,5.3,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Louisiana,72.6,2.9,2.9,5.9,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Maine,72.6,2.9,2.9,6.5,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Maryland,72.6,2.9,2.9,5.8,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Massachusetts,72.6,2.9,2.9,5.9,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Michigan,72.6,2.9,2.9,7.3,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Minnesota,72.6,2.9,2.9,3.9,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Mississippi,72.6,2.9,2.9,6.0,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Missouri,72.6,2.9,2.9,4.3,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Montana,72.6,2.9,2.9,5.2,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Nebraska,72.6,2.9,2.9,2.6,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Nevada,72.6,2.9,2.9,4.7,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,New Hampshire,72.6,2.9,2.9,3.3,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,New Jersey,72.6,2.9,2.9,7.0,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,New Mexico,72.6,2.9,2.9,6.5,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,New York,72.6,2.9,2.9,7.2,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,North Carolina,72.6,2.9,2.9,4.6,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,North Dakota,72.6,2.9,2.9,4.3,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Ohio,72.6,2.9,2.9,5.7,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Oklahoma,72.6,2.9,2.9,3.2,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Oregon,72.6,2.9,2.9,7.0,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Pennsylvania,72.6,2.9,2.9,6.9,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Rhode Island,72.6,2.9,2.9,6.2,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,South Carolina,72.6,2.9,2.9,5.2,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,South Dakota,72.6,2.9,2.9,3.4,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Tennessee,72.6,2.9,2.9,5.7,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Texas,72.6,2.9,2.9,4.5,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Utah,72.6,2.9,2.9,3.7,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Vermont,72.6,2.9,2.9,5.4,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Virginia,72.6,2.9,2.9,5.1,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Washington,72.6,2.9,2.9,7.0,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,West Virginia,72.6,2.9,2.9,6.6,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Wisconsin,72.6,2.9,2.9,4.8,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1979,Wyoming,72.6,2.9,2.9,2.5,11674.18631,13.3,10.07,5.9,0.8,77.5,11.684000000000001
1980,Alabama,82.4,3.1,3.1,7.6,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Alaska,82.4,3.6,3.1,8.7,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Arizona,82.4,3.1,3.1,5.4,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Arkansas,82.4,3.1,3.1,6.2,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,California,82.4,3.1,3.1,6.2,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Colorado,82.4,3.1,3.1,4.5,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Connecticut,82.4,3.12,3.1,5.1,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Delaware,82.4,3.1,3.1,6.8,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,District of Columbia,82.4,3.1,3.1,6.4,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Florida,82.4,3.1,3.1,5.6,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Georgia,82.4,3.1,3.1,5.4,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Hawaii,82.4,3.1,3.1,4.9,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Idaho,82.4,3.1,3.1,6.3,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Illinois,82.4,3.1,3.1,6.6,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Indiana,82.4,3.1,3.1,7.9,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Iowa,82.4,3.1,3.1,4.5,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Kansas,82.4,3.1,3.1,3.4,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Kentucky,82.4,3.1,3.1,6.2,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Louisiana,82.4,3.1,3.1,6.8,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Maine,82.4,3.1,3.1,6.6,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Maryland,82.4,3.1,3.1,5.7,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Massachusetts,82.4,3.1,3.1,5.3,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Michigan,82.4,3.1,3.1,9.7,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Minnesota,82.4,3.1,3.1,5.1,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Mississippi,82.4,3.1,3.1,6.3,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Missouri,82.4,3.1,3.1,5.8,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Montana,82.4,3.1,3.1,5.5,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Nebraska,82.4,3.1,3.1,3.0,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Nevada,82.4,3.1,3.1,4.9,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,New Hampshire,82.4,3.1,3.1,3.5,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,New Jersey,82.4,3.1,3.1,6.6,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,New Mexico,82.4,3.1,3.1,6.8,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,New York,82.4,3.1,3.1,7.1,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,North Carolina,82.4,3.1,3.1,5.2,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,North Dakota,82.4,3.1,3.1,4.2,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Ohio,82.4,3.1,3.1,6.3,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Oklahoma,82.4,3.1,3.1,3.0,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Oregon,82.4,3.1,3.1,6.4,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Pennsylvania,82.4,3.1,3.1,7.2,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Rhode Island,82.4,3.1,3.1,6.5,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,South Carolina,82.4,3.1,3.1,5.6,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,South Dakota,82.4,3.1,3.1,3.7,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
1980,Tennessee,82.4,3.1,3.1,6.1,12574.79151,12.5,13.82,6.3,1.3,78.7,12.912
